Deck no: 1 Colors: ['B', 'G', 'R', 'U', 'W'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 520 Colors: ['R', 'U', 'W', 'G', 'B'] Fitness: 4 No. Evasions: 5 No. Creatures: 66 No. Spells: 18 No. Bombs 0 No. Lands: 6
Deck no: 521 Colors: ['W', 'U', 'R', 'B', 'G'] Fitness: 6 No. Evasions: 13 No. Creatures: 39 No. Spells: 51 No. Bombs 0 No. Lands: 0
Deck no: 522 Colors: ['B', 'R', 'U', 'G', 'W'] Fitness: 7 No. Evasions: 20 No. Creatures: 24 No. Spells: 26 No. Bombs 0 No. Lands: 22
Deck no: 523 Colors: ['W', 'G', 'R', 'U'] Fitness: 5 No. Evasions: 40 No. Creatures: 21 No. Spells: 50 No. Bombs 0 No. Lands: 10
Deck no: 524 Colors: ['G', 'B', 'R', 'U', 'W'] Fitness: 5 No. Evasions: 17 No. Creatures: 61 No. Spells: 20 No. Bombs 4 No. Lands: 0
Deck no: 525 Colors: ['B', 'G', 'R', 'W', 'U'] Fitness: 6 No. Evasions: 3 No. Creatures: 42 No. Spells: 41 No. Bombs 0 No. Lands: 7
Deck no: 2 Colors: ['W', 'G', 'U', 'R', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 1 Colors: ['B', 'G', 'R', 'U', 'W'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 277 Colors: ['W', 'G', 'U', 'R', 'B'] Fitness: 10 No. Evasions: 16 No. Creatures: 42 No. Spells: 39 No. Bombs 1 No. Lands: 0
Deck no: 448 Colors: ['R', 'W', 'U', 'B', 'G'] Fitness: 10 No. Evasions: 18 No. Creatures: 47 No. Spells: 34 No. Bombs 2 No. Lands: 0
Deck no: 18 Colors: ['W', 'U', 'R', 'B', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 4 Colors: ['R', 'B', 'W', 'G', 'U'] Fitness: 7 No. Evasions: 10 No. Creatures: 36 No. Spells: 38 No. Bombs 4 No. Lands: 9
Deck no: 23 Colors: ['B', 'W', 'G', 'R', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 38 No. Spells: 36 No. Bombs 4 No. Lands: 9
Deck no: 235 Colors: ['G', 'R', 'W', 'U'] Fitness: 9 No. Evasions: 14 No. Creatures: 24 No. Spells: 57 No. Bombs 2 No. Lands: 7
Deck no: 14 Colors: ['B', 'G', 'W', 'U', 'R'] Fitness: 7 No. Evasions: 9 No. Creatures: 38 No. Spells: 36 No. Bombs 4 No. Lands: 9
Deck no: 25 Colors: ['R', 'B', 'U', 'W', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 36 No. Bombs 4 No. Lands: 10
Deck no: 9 Colors: ['U', 'R', 'B', 'G', 'W'] Fitness: 7 No. Evasions: 10 No. Creatures: 37 No. Spells: 37 No. Bombs 3 No. Lands: 10
Deck no: 10 Colors: ['B', 'U', 'G', 'W', 'R'] Fitness: 7 No. Evasions: 9 No. Creatures: 38 No. Spells: 36 No. Bombs 4 No. Lands: 9
Deck no: 22 Colors: ['G', 'U', 'W', 'R', 'B'] Fitness: 7 No. Evasions: 8 No. Creatures: 36 No. Spells: 37 No. Bombs 4 No. Lands: 10
Deck no: 475 Colors: ['R', 'W', 'G'] Fitness: 10 No. Evasions: 6 No. Creatures: 71 No. Spells: 5 No. Bombs 0 No. Lands: 14
Deck no: 3 Colors: ['W', 'G', 'B', 'R', 'U'] Fitness: 7 No. Evasions: 8 No. Creatures: 37 No. Spells: 37 No. Bombs 5 No. Lands: 8
Deck no: 307 Colors: ['R', 'G', 'W', 'U', 'B'] Fitness: 7 No. Evasions: 18 No. Creatures: 41 No. Spells: 39 No. Bombs 3 No. Lands: 0
Deck no: 11 Colors: ['B', 'R', 'G', 'U', 'W'] Fitness: 7 No. Evasions: 9 No. Creatures: 38 No. Spells: 36 No. Bombs 3 No. Lands: 10
Deck no: 243 Colors: ['W', 'G', 'B', 'R', 'U'] Fitness: 10 No. Evasions: 17 No. Creatures: 43 No. Spells: 34 No. Bombs 2 No. Lands: 3
Deck no: 8 Colors: ['U', 'R', 'G', 'W', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 438 Colors: ['W', 'R', 'G', 'B', 'U'] Fitness: 11 No. Evasions: 17 No. Creatures: 42 No. Spells: 41 No. Bombs 2 No. Lands: 0
Deck no: 17 Colors: ['W', 'R', 'U', 'B', 'G'] Fitness: 7 No. Evasions: 8 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 341 Colors: ['B', 'W', 'G', 'R', 'U'] Fitness: 10 No. Evasions: 7 No. Creatures: 25 No. Spells: 44 No. Bombs 2 No. Lands: 19
Deck no: 441 Colors: ['W', 'B', 'G', 'R', 'U'] Fitness: 9 No. Evasions: 6 No. Creatures: 32 No. Spells: 48 No. Bombs 1 No. Lands: 9
Deck no: 15 Colors: ['B', 'G', 'R', 'W', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 238 Colors: ['W', 'R', 'G', 'B', 'U'] Fitness: 8 No. Evasions: 11 No. Creatures: 60 No. Spells: 20 No. Bombs 1 No. Lands: 0
Deck no: 47 Colors: ['R', 'G', 'B', 'W', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 24 Colors: ['G', 'W', 'R', 'B', 'U'] Fitness: 7 No. Evasions: 10 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 43 Colors: ['U', 'W', 'B', 'G', 'R'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 21 Colors: ['W', 'R', 'G', 'B', 'U'] Fitness: 7 No. Evasions: 8 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 42 Colors: ['W', 'G', 'R', 'B', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 38 No. Spells: 38 No. Bombs 4 No. Lands: 7
Deck no: 20 Colors: ['R', 'U', 'B', 'G', 'W'] Fitness: 7 No. Evasions: 9 No. Creatures: 38 No. Spells: 36 No. Bombs 4 No. Lands: 9
Deck no: 40 Colors: ['U', 'B', 'G', 'W', 'R'] Fitness: 7 No. Evasions: 8 No. Creatures: 36 No. Spells: 38 No. Bombs 4 No. Lands: 9
Deck no: 28 Colors: ['U', 'W', 'G', 'R', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 6 Colors: ['R', 'U', 'G', 'B', 'W'] Fitness: 7 No. Evasions: 8 No. Creatures: 37 No. Spells: 39 No. Bombs 4 No. Lands: 9
Deck no: 33 Colors: ['U', 'W', 'R', 'G', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 16 Colors: ['G', 'B', 'U', 'R', 'W'] Fitness: 7 No. Evasions: 8 No. Creatures: 38 No. Spells: 36 No. Bombs 4 No. Lands: 9
Deck no: 13 Colors: ['B', 'G', 'W', 'U', 'R'] Fitness: 7 No. Evasions: 8 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 12 Colors: ['G', 'W', 'R', 'U', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 39 No. Spells: 35 No. Bombs 4 No. Lands: 9
Deck no: 5 Colors: ['R', 'U', 'W', 'B', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 38 No. Spells: 37 No. Bombs 4 No. Lands: 8
Deck no: 49 Colors: ['W', 'B', 'U', 'G', 'R'] Fitness: 7 No. Evasions: 9 No. Creatures: 38 No. Spells: 36 No. Bombs 4 No. Lands: 9
Deck no: 50 Colors: ['G', 'R', 'W', 'U', 'B'] Fitness: 7 No. Evasions: 10 No. Creatures: 37 No. Spells: 36 No. Bombs 4 No. Lands: 9
Deck no: 32 Colors: ['R', 'W', 'U', 'B', 'G'] Fitness: 7 No. Evasions: 10 No. Creatures: 37 No. Spells: 38 No. Bombs 5 No. Lands: 7
Deck no: 45 Colors: ['W', 'G', 'B', 'U', 'R'] Fitness: 7 No. Evasions: 8 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 41 Colors: ['U', 'R', 'W', 'G', 'B'] Fitness: 7 No. Evasions: 8 No. Creatures: 39 No. Spells: 35 No. Bombs 5 No. Lands: 9
Deck no: 48 Colors: ['W', 'B', 'U', 'R', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 35 Colors: ['R', 'W', 'G', 'B', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 26 Colors: ['G', 'U', 'W', 'R', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 36 No. Spells: 39 No. Bombs 4 No. Lands: 9
Deck no: 37 Colors: ['U', 'R', 'W', 'G', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 19 Colors: ['U', 'W', 'B', 'G', 'R'] Fitness: 7 No. Evasions: 9 No. Creatures: 36 No. Spells: 37 No. Bombs 4 No. Lands: 10
Deck no: 7 Colors: ['W', 'R', 'B', 'U', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 36 No. Bombs 4 No. Lands: 10
Deck no: 526 Colors: ['U', 'W', 'G', 'R', 'B'] Fitness: 5 No. Evasions: 3 No. Creatures: 34 No. Spells: 46 No. Bombs 5 No. Lands: 5
Deck no: 527 Colors: ['U', 'R', 'G', 'W', 'B'] Fitness: 4 No. Evasions: 2 No. Creatures: 29 No. Spells: 49 No. Bombs 0 No. Lands: 10
Deck no: 528 Colors: ['W', 'B', 'G', 'R', 'U'] Fitness: 6 No. Evasions: 32 No. Creatures: 46 No. Spells: 35 No. Bombs 0 No. Lands: 0
Deck no: 529 Colors: ['B', 'R', 'G', 'W', 'U'] Fitness: 6 No. Evasions: 8 No. Creatures: 47 No. Spells: 34 No. Bombs 0 No. Lands: 6
Deck no: 530 Colors: ['B', 'G', 'R', 'W', 'U'] Fitness: 7 No. Evasions: 17 No. Creatures: 44 No. Spells: 43 No. Bombs 0 No. Lands: 3
Deck no: 531 Colors: ['U', 'W', 'R', 'G', 'B'] Fitness: 6 No. Evasions: 19 No. Creatures: 41 No. Spells: 31 No. Bombs 11 No. Lands: 0
Deck no: 532 Colors: ['B', 'U', 'W', 'G', 'R'] Fitness: 5 No. Evasions: 8 No. Creatures: 56 No. Spells: 30 No. Bombs 4 No. Lands: 0
Deck no: 533 Colors: ['W', 'G', 'R', 'U', 'B'] Fitness: 5 No. Evasions: 6 No. Creatures: 25 No. Spells: 56 No. Bombs 3 No. Lands: 6
Deck no: 534 Colors: ['R', 'U', 'W', 'B', 'G'] Fitness: 6 No. Evasions: 10 No. Creatures: 27 No. Spells: 47 No. Bombs 0 No. Lands: 11
Deck no: 535 Colors: ['U', 'W', 'B', 'G', 'R'] Fitness: 2 No. Evasions: 0 No. Creatures: 45 No. Spells: 25 No. Bombs 8 No. Lands: 12
Deck no: 536 Colors: ['R', 'B', 'U', 'G', 'W'] Fitness: 2 No. Evasions: 0 No. Creatures: 45 No. Spells: 26 No. Bombs 7 No. Lands: 12
Deck no: 537 Colors: ['B', 'U', 'W', 'R', 'G'] Fitness: 5 No. Evasions: 21 No. Creatures: 46 No. Spells: 25 No. Bombs 3 No. Lands: 0
Deck no: 538 Colors: ['W', 'G', 'U', 'R'] Fitness: 5 No. Evasions: 17 No. Creatures: 23 No. Spells: 57 No. Bombs 0 No. Lands: 10
Deck no: 539 Colors: ['R', 'B', 'G', 'U', 'W'] Fitness: 5 No. Evasions: 20 No. Creatures: 72 No. Spells: 14 No. Bombs 0 No. Lands: 4
Deck no: 540 Colors: ['W', 'G', 'R', 'U', 'B'] Fitness: 4 No. Evasions: 3 No. Creatures: 24 No. Spells: 61 No. Bombs 5 No. Lands: 0
Deck no: 541 Colors: ['W', 'U', 'G', 'R', 'B'] Fitness: 6 No. Evasions: 5 No. Creatures: 45 No. Spells: 38 No. Bombs 0 No. Lands: 7
Deck no: 542 Colors: ['R', 'B', 'U', 'W', 'G'] Fitness: 6 No. Evasions: 14 No. Creatures: 49 No. Spells: 38 No. Bombs 0 No. Lands: 0
Deck no: 543 Colors: ['W', 'G', 'R', 'B', 'U'] Fitness: 5 No. Evasions: 24 No. Creatures: 48 No. Spells: 15 No. Bombs 0 No. Lands: 12
Deck no: 544 Colors: ['W', 'R', 'U', 'G', 'B'] Fitness: 6 No. Evasions: 10 No. Creatures: 29 No. Spells: 44 No. Bombs 0 No. Lands: 7
Deck no: 545 Colors: ['G', 'W', 'R', 'U', 'B'] Fitness: 7 No. Evasions: 24 No. Creatures: 38 No. Spells: 34 No. Bombs 0 No. Lands: 11
Deck no: 546 Colors: ['G', 'W', 'R', 'U', 'B'] Fitness: 3 No. Evasions: 0 No. Creatures: 47 No. Spells: 39 No. Bombs 4 No. Lands: 0
Deck no: 547 Colors: ['U', 'R', 'G', 'B', 'W'] Fitness: 5 No. Evasions: 4 No. Creatures: 23 No. Spells: 34 No. Bombs 10 No. Lands: 23
Deck no: 548 Colors: ['R', 'W', 'U', 'B', 'G'] Fitness: 9 No. Evasions: 10 No. Creatures: 32 No. Spells: 55 No. Bombs 1 No. Lands: 2
Deck no: 549 Colors: ['U', 'W', 'G', 'R', 'B'] Fitness: 2 No. Evasions: 0 No. Creatures: 20 No. Spells: 50 No. Bombs 7 No. Lands: 13
Deck no: 550 Colors: ['G', 'W', 'R', 'B', 'U'] Fitness: 4 No. Evasions: 4 No. Creatures: 65 No. Spells: 25 No. Bombs 0 No. Lands: 0
Deck no: 25 Colors: ['R', 'B', 'U', 'W', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 36 No. Bombs 4 No. Lands: 10
Deck no: 341 Colors: ['B', 'W', 'G', 'R', 'U'] Fitness: 10 No. Evasions: 7 No. Creatures: 26 No. Spells: 44 No. Bombs 2 No. Lands: 18
Deck no: 235 Colors: ['G', 'R', 'W', 'U'] Fitness: 9 No. Evasions: 14 No. Creatures: 24 No. Spells: 57 No. Bombs 2 No. Lands: 7
Deck no: 14 Colors: ['B', 'G', 'W', 'U', 'R'] Fitness: 7 No. Evasions: 9 No. Creatures: 38 No. Spells: 36 No. Bombs 4 No. Lands: 9
Deck no: 2 Colors: ['W', 'G', 'U', 'R', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 548 Colors: ['R', 'W', 'U', 'B', 'G'] Fitness: 9 No. Evasions: 10 No. Creatures: 32 No. Spells: 55 No. Bombs 1 No. Lands: 2
Deck no: 8 Colors: ['U', 'R', 'G', 'W', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 307 Colors: ['R', 'G', 'W', 'U', 'B'] Fitness: 7 No. Evasions: 18 No. Creatures: 41 No. Spells: 39 No. Bombs 3 No. Lands: 0
Deck no: 277 Colors: ['W', 'G', 'U', 'R', 'B'] Fitness: 10 No. Evasions: 16 No. Creatures: 42 No. Spells: 39 No. Bombs 1 No. Lands: 0
Deck no: 23 Colors: ['B', 'W', 'G', 'R', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 38 No. Spells: 36 No. Bombs 4 No. Lands: 9
Deck no: 11 Colors: ['B', 'R', 'G', 'U', 'W'] Fitness: 7 No. Evasions: 9 No. Creatures: 38 No. Spells: 36 No. Bombs 3 No. Lands: 10
Deck no: 441 Colors: ['W', 'B', 'G', 'R', 'U'] Fitness: 9 No. Evasions: 6 No. Creatures: 32 No. Spells: 48 No. Bombs 1 No. Lands: 9
Deck no: 1 Colors: ['B', 'G', 'R', 'U', 'W'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 238 Colors: ['W', 'R', 'G', 'B', 'U'] Fitness: 8 No. Evasions: 11 No. Creatures: 60 No. Spells: 20 No. Bombs 1 No. Lands: 0
Deck no: 4 Colors: ['R', 'B', 'W', 'G', 'U'] Fitness: 7 No. Evasions: 10 No. Creatures: 36 No. Spells: 38 No. Bombs 4 No. Lands: 9
Deck no: 438 Colors: ['W', 'R', 'G', 'B', 'U'] Fitness: 11 No. Evasions: 17 No. Creatures: 42 No. Spells: 41 No. Bombs 2 No. Lands: 0
Deck no: 17 Colors: ['W', 'R', 'U', 'B', 'G'] Fitness: 7 No. Evasions: 8 No. Creatures: 36 No. Spells: 37 No. Bombs 4 No. Lands: 10
Deck no: 448 Colors: ['R', 'W', 'U', 'B', 'G'] Fitness: 10 No. Evasions: 18 No. Creatures: 47 No. Spells: 34 No. Bombs 2 No. Lands: 0
Deck no: 10 Colors: ['B', 'U', 'G', 'W', 'R'] Fitness: 7 No. Evasions: 9 No. Creatures: 38 No. Spells: 36 No. Bombs 4 No. Lands: 9
Deck no: 3 Colors: ['W', 'G', 'B', 'R', 'U'] Fitness: 7 No. Evasions: 8 No. Creatures: 37 No. Spells: 37 No. Bombs 5 No. Lands: 8
Deck no: 243 Colors: ['W', 'G', 'B', 'R', 'U'] Fitness: 10 No. Evasions: 17 No. Creatures: 43 No. Spells: 34 No. Bombs 2 No. Lands: 3
Deck no: 22 Colors: ['G', 'U', 'W', 'R', 'B'] Fitness: 7 No. Evasions: 8 No. Creatures: 36 No. Spells: 37 No. Bombs 4 No. Lands: 10
Deck no: 9 Colors: ['U', 'R', 'B', 'G', 'W'] Fitness: 7 No. Evasions: 10 No. Creatures: 37 No. Spells: 37 No. Bombs 3 No. Lands: 10
Deck no: 475 Colors: ['R', 'W', 'G'] Fitness: 10 No. Evasions: 6 No. Creatures: 71 No. Spells: 5 No. Bombs 0 No. Lands: 14
Deck no: 18 Colors: ['W', 'U', 'R', 'B', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 19 Colors: ['U', 'W', 'B', 'G', 'R'] Fitness: 7 No. Evasions: 9 No. Creatures: 36 No. Spells: 37 No. Bombs 4 No. Lands: 10
Deck no: 6 Colors: ['R', 'U', 'G', 'B', 'W'] Fitness: 7 No. Evasions: 8 No. Creatures: 37 No. Spells: 39 No. Bombs 4 No. Lands: 9
Deck no: 35 Colors: ['R', 'W', 'G', 'B', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 20 Colors: ['R', 'U', 'B', 'G', 'W'] Fitness: 7 No. Evasions: 9 No. Creatures: 38 No. Spells: 36 No. Bombs 4 No. Lands: 9
Deck no: 41 Colors: ['U', 'R', 'W', 'G', 'B'] Fitness: 7 No. Evasions: 8 No. Creatures: 39 No. Spells: 35 No. Bombs 5 No. Lands: 9
Deck no: 43 Colors: ['U', 'W', 'B', 'G', 'R'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 45 Colors: ['W', 'G', 'B', 'U', 'R'] Fitness: 7 No. Evasions: 8 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 40 Colors: ['U', 'B', 'G', 'W', 'R'] Fitness: 7 No. Evasions: 8 No. Creatures: 36 No. Spells: 38 No. Bombs 4 No. Lands: 9
Deck no: 42 Colors: ['W', 'G', 'R', 'B', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 38 No. Spells: 38 No. Bombs 4 No. Lands: 7
Deck no: 37 Colors: ['U', 'R', 'W', 'G', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 48 Colors: ['W', 'B', 'U', 'R', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 28 Colors: ['U', 'W', 'G', 'R', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 12 Colors: ['G', 'W', 'R', 'U', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 39 No. Spells: 35 No. Bombs 4 No. Lands: 9
Deck no: 21 Colors: ['W', 'R', 'G', 'B', 'U'] Fitness: 7 No. Evasions: 8 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 49 Colors: ['W', 'B', 'U', 'G', 'R'] Fitness: 7 No. Evasions: 9 No. Creatures: 38 No. Spells: 36 No. Bombs 4 No. Lands: 9
Deck no: 5 Colors: ['R', 'U', 'W', 'B', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 39 No. Spells: 36 No. Bombs 4 No. Lands: 8
Deck no: 33 Colors: ['U', 'W', 'R', 'G', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 50 Colors: ['G', 'R', 'W', 'U', 'B'] Fitness: 7 No. Evasions: 10 No. Creatures: 37 No. Spells: 36 No. Bombs 4 No. Lands: 9
Deck no: 26 Colors: ['G', 'U', 'W', 'R', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 36 No. Spells: 39 No. Bombs 4 No. Lands: 9
Deck no: 32 Colors: ['R', 'W', 'U', 'B', 'G'] Fitness: 7 No. Evasions: 10 No. Creatures: 37 No. Spells: 38 No. Bombs 5 No. Lands: 7
Deck no: 13 Colors: ['B', 'G', 'W', 'U', 'R'] Fitness: 7 No. Evasions: 8 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 16 Colors: ['G', 'B', 'U', 'R', 'W'] Fitness: 7 No. Evasions: 8 No. Creatures: 38 No. Spells: 36 No. Bombs 4 No. Lands: 9
Deck no: 15 Colors: ['B', 'G', 'R', 'W', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 36 No. Bombs 5 No. Lands: 9
Deck no: 24 Colors: ['G', 'W', 'R', 'B', 'U'] Fitness: 7 No. Evasions: 10 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 47 Colors: ['R', 'G', 'B', 'W', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 551 Colors: ['B', 'R', 'W', 'G', 'U'] Fitness: 4 No. Evasions: 0 No. Creatures: 28 No. Spells: 27 No. Bombs 13 No. Lands: 22
Deck no: 552 Colors: ['R', 'G', 'B', 'U', 'W'] Fitness: 6 No. Evasions: 10 No. Creatures: 27 No. Spells: 54 No. Bombs 0 No. Lands: 9
Deck no: 553 Colors: ['G', 'R', 'W'] Fitness: 10 No. Evasions: 4 No. Creatures: 31 No. Spells: 40 No. Bombs 5 No. Lands: 14
Deck no: 554 Colors: ['U', 'R', 'W', 'B', 'G'] Fitness: 6 No. Evasions: 13 No. Creatures: 23 No. Spells: 37 No. Bombs 0 No. Lands: 20
Deck no: 555 Colors: ['W', 'G', 'U', 'R'] Fitness: 4 No. Evasions: 2 No. Creatures: 28 No. Spells: 45 No. Bombs 6 No. Lands: 11
Deck no: 556 Colors: ['B', 'W', 'G', 'R', 'U'] Fitness: 6 No. Evasions: 5 No. Creatures: 47 No. Spells: 43 No. Bombs 0 No. Lands: 0
Deck no: 557 Colors: ['U', 'B', 'R', 'G', 'W'] Fitness: 7 No. Evasions: 17 No. Creatures: 38 No. Spells: 33 No. Bombs 0 No. Lands: 6
Deck no: 558 Colors: ['U', 'B', 'G', 'W', 'R'] Fitness: 6 No. Evasions: 5 No. Creatures: 40 No. Spells: 50 No. Bombs 0 No. Lands: 0
Deck no: 559 Colors: ['R', 'B', 'G', 'W', 'U'] Fitness: 6 No. Evasions: 36 No. Creatures: 28 No. Spells: 51 No. Bombs 0 No. Lands: 0
Deck no: 560 Colors: ['W', 'R', 'U', 'G', 'B'] Fitness: 7 No. Evasions: 13 No. Creatures: 41 No. Spells: 43 No. Bombs 6 No. Lands: 0
Deck no: 561 Colors: ['R', 'G', 'B', 'U', 'W'] Fitness: 7 No. Evasions: 14 No. Creatures: 41 No. Spells: 37 No. Bombs 0 No. Lands: 12
Deck no: 562 Colors: ['W', 'R', 'B', 'G', 'U'] Fitness: 6 No. Evasions: 11 No. Creatures: 31 No. Spells: 51 No. Bombs 4 No. Lands: 4
Deck no: 563 Colors: ['R', 'U', 'B', 'G', 'W'] Fitness: 6 No. Evasions: 20 No. Creatures: 34 No. Spells: 50 No. Bombs 0 No. Lands: 3
Deck no: 564 Colors: ['W', 'G', 'B', 'R'] Fitness: 4 No. Evasions: 5 No. Creatures: 70 No. Spells: 17 No. Bombs 0 No. Lands: 3
Deck no: 565 Colors: ['U', 'W', 'G', 'R', 'B'] Fitness: 6 No. Evasions: 3 No. Creatures: 42 No. Spells: 37 No. Bombs 11 No. Lands: 0
Deck no: 566 Colors: ['W', 'R', 'B', 'U', 'G'] Fitness: 7 No. Evasions: 22 No. Creatures: 42 No. Spells: 38 No. Bombs 0 No. Lands: 0
Deck no: 567 Colors: ['W', 'B', 'G', 'R', 'U'] Fitness: 2 No. Evasions: 0 No. Creatures: 58 No. Spells: 32 No. Bombs 0 No. Lands: 0
Deck no: 568 Colors: ['W', 'U', 'R', 'B', 'G'] Fitness: 5 No. Evasions: 9 No. Creatures: 49 No. Spells: 31 No. Bombs 0 No. Lands: 5
Deck no: 569 Colors: ['U', 'W', 'B', 'R', 'G'] Fitness: 7 No. Evasions: 8 No. Creatures: 25 No. Spells: 27 No. Bombs 21 No. Lands: 9
Deck no: 570 Colors: ['W', 'B', 'R', 'G', 'U'] Fitness: 5 No. Evasions: 15 No. Creatures: 59 No. Spells: 28 No. Bombs 0 No. Lands: 0
Deck no: 571 Colors: ['B', 'R', 'W', 'U', 'G'] Fitness: 9 No. Evasions: 15 No. Creatures: 46 No. Spells: 29 No. Bombs 2 No. Lands: 5
Deck no: 572 Colors: ['W', 'G', 'U', 'R', 'B'] Fitness: 4 No. Evasions: 0 No. Creatures: 35 No. Spells: 36 No. Bombs 4 No. Lands: 15
Deck no: 573 Colors: ['B', 'W', 'G', 'R', 'U'] Fitness: 3 No. Evasions: 0 No. Creatures: 30 No. Spells: 47 No. Bombs 5 No. Lands: 8
Deck no: 574 Colors: ['R', 'G', 'W', 'U', 'B'] Fitness: 4 No. Evasions: 4 No. Creatures: 60 No. Spells: 14 No. Bombs 0 No. Lands: 16
Deck no: 575 Colors: ['R', 'W', 'B', 'G', 'U'] Fitness: 6 No. Evasions: 11 No. Creatures: 36 No. Spells: 46 No. Bombs 0 No. Lands: 8
Deck no: 17 Colors: ['W', 'R', 'U', 'B', 'G'] Fitness: 7 No. Evasions: 8 No. Creatures: 36 No. Spells: 37 No. Bombs 4 No. Lands: 10
Deck no: 8 Colors: ['U', 'R', 'G', 'W', 'B'] Fitness: 7 No. Evasions: 10 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
